slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
chushingura-1962,FALSE,Chushingura,,1962-11-03,忠臣蔵 花の巻 雪の巻,,,,,,
conflagration-1975,TRUE,Conflagration,,1975-07-12,東京湾炎上,/films/conflagration-1975,100,/static/images/films/posters/conflagration-1975.webp,Tôkyô-wan Enjô,Tokyo Bay Burns,[]
crossfire-2000,TRUE,Crossfire,,2000-06-10,クロスファイア,/films/crossfire-2000,115,/static/images/films/posters/crossfire-2000.webp,Kurosufaia,Crossfire,"[{""alias"":""Pyrokinesis"",""context"":""American Home Video""}]"
daigoro-vs-goliath-1972,TRUE,Daigoro vs. Goliath,,1972-12-17,怪獣大奮戦 ダイゴロウ対ゴリアス,/films/daigoro-vs-goliath-1972,85,/static/images/films/posters/daigoro-vs-goliath-1972.webp,Kaijû Daifunsen Daigorô Tai Goriasu,Monster Great Battle Daigoro vs. Goliath,[]
daimajin-1966,TRUE,Daimajin,Daimajin,1966-04-17,大魔神,/films/daimajin-1966,84,/static/images/films/posters/daimajin-1966.webp,Daimajin,Daimajin,[]
daredevil-in-the-castle-1961,TRUE,Daredevil in the Castle,Osaka Castle,1961-01-03,大坂城物語,/films/daredevil-in-the-castle-1961,95,/static/images/films/posters/daredevil-in-the-castle-1961.webp,Ôsakajô Monogatari,Osaka Castle Story,[]
daughter-of-the-samurai-1937,FALSE,Daughter of the Samurai,,1937-02-04,新しき土,,,,,,
death-note-2006,TRUE,Death Note,Death Note,2006-06-17,デスノート,/films/death-note-2006,126,/static/images/films/posters/death-note-2006.webp,Desu Nôto,Death Note,[]
death-note-light-up-the-new-world-2016,TRUE,Death Note: Light Up the New World,Death Note,2016-10-29,デスノート Light up the NEW world,/films/death-note-light-up-the-new-world-2016,135,/static/images/films/posters/death-note-light-up-the-new-world-2016.webp,Desu Nôto Light Up the New World,Death Note Light Up the New World,[]
death-note-the-last-name-2006,TRUE,Death Note: The Last Name,Death Note,2006-11-03,デスノート the Last name,/films/death-note-the-last-name-2006,140,/static/images/films/posters/death-note-the-last-name-2006.webp,Desu Nôto The Last Name,Death Note The Last Name,[]
destroy-all-monsters-1968,TRUE,Destroy All Monsters,Godzilla,1968-08-01,怪獣総進撃,/films/destroy-all-monsters-1968,89,/static/images/films/posters/destroy-all-monsters-1968.webp,Kaijû Sôshingeki,Monster All-Out Attack,[]
dogora-1964,TRUE,Dogora,,1964-08-11,宇宙大怪獣ドゴラ,/films/dogora-1964,81,/static/images/films/posters/dogora-1964.webp,Uchû Daikaijû Dogora,Space Giant Monster Dogora,"[{""alias"":""Dogora, the Space Monster"",""context"":""American Theatrical Release""}]"
dororo-2007,TRUE,Dororo,,2007-01-27,どろろ,/films/dororo-2007,138,/static/images/films/posters/dororo-2007.webp,Dororo,Dororo,[]
early-summer-1951,FALSE,Early Summer,,1951-10-03,麥秋,,,,,,
ebirah-horror-of-the-deep-1966,TRUE,"Ebirah, Horror of the Deep",Godzilla,1966-12-17,ゴジラ・エビラ・モスラ 南海の大決闘,/films/ebirah-horror-of-the-deep-1966,87,/static/images/films/posters/ebirah-horror-of-the-deep-1966.webp,Gojira Ebira Mosura Nankai No Daikettô,Godzilla Ebirah Mothra Great Duel in the South Seas,"[{""alias"":""Godzilla vs. the Sea Monster"",""context"":""American Theatrical Release""}]"
ecology-of-marriage-1940,FALSE,Ecology of Marriage,,1941-07-30,結婚の生態,,,,,,
eko-eko-azarak-ii-birth-of-the-wizard-1996,TRUE,Eko Eko Azarak II: Birth of the Wizard,Eko Eko Azarak,1996-04-10,エコエコアザラクII -BIRTH OF THE WIZARD-,/films/eko-eko-azarak-ii-birth-of-the-wizard-1996,83,/static/images/films/posters/eko-eko-azarak-ii-birth-of-the-wizard-1996.webp,Eko Eko Azaraku II Birth of the Wizard,Eko Eko Azarak II Birth of the Wizard,[]
eko-eko-azarak-iii-misa-the-dark-angel-1998,TRUE,Eko Eko Azarak III: Misa the Dark Angel,Eko Eko Azarak,1998-01-15,エコエコアザラクIII -MISA THE DARK ANGEL-,/films/eko-eko-azarak-iii-misa-the-dark-angel-1998,95,/static/images/films/posters/eko-eko-azarak-iii-misa-the-dark-angel-1998.webp,Eko Eko Azaraku III Misa the Dark Angel,Eko Eko Azarak III Misa the Dark Angel,[]
eko-eko-azarak-wizard-of-darkness-1995,TRUE,Eko Eko Azarak: Wizard of Darkness,Eko Eko Azarak,1995-04-08,エコエコアザラク -WIZARD OF DARKNESS-,/films/eko-eko-azarak-wizard-of-darkness-1995,80,/static/images/films/posters/eko-eko-azarak-wizard-of-darkness-1995.webp,Eko Eko Azaraku Wizard of Darkness,Eko Eko Azarak Wizard of Darkness,[]
enthusiastic-president-1956,FALSE,Enthusiastic President,Company President,1956-07-13,はりきり社長,,,,,,[]
espy-1974,TRUE,ESPY,,1974-12-28,エスパイ,/films/espy-1974,94,/static/images/films/posters/espy-1974.webp,Esupai,ESPY,[]
eternal-zero-2013,TRUE,The Eternal Zero,,2013-12-21,永遠の<ruby>0<rt>ゼロ</rt></ruby>,/films/eternal-zero-2013,144,/static/images/films/posters/eternal-zero-2013.webp,Eien No Zero,Eternal Zero,[]
evil-of-dracula-1974,TRUE,Evil of Dracula,Bloodthirsty,1974-07-20,血を吸う薔薇,/films/evil-of-dracula-1974,83,/static/images/films/posters/evil-of-dracula-1974.webp,Chiwosuu Bara,Bloodthirsty Rose,[]
fight-zatoichi-fight-1964,TRUE,"Fight, Zatoichi, Fight",Zatoichi,1964-10-17,座頭市血笑旅,/films/fight-zatoichi-fight-1964,87,/static/images/films/posters/fight-zatoichi-fight-1964.webp,Zatôichi Kesshôtabi,Zatôichi Bloody Journey,[]
floating-clouds-1955,FALSE,Floating Clouds,,1955-01-15,浮雲,,,,,,
flowing-1956,FALSE,Flowing,,1956-11-20,流れる,,,,,,
flying-phantom-ship-1969,FALSE,Flying Phantom Ship,,1969-05-05,空飛ぶゆうれい船,,,,,,
frankenstein-conquers-the-world-1965,TRUE,Frankenstein Conquers the World,Frankenstein,1965-08-08,フランケンシュタイン対<ruby>地底怪獣<rt>バラゴン</rt></ruby>,/films/frankenstein-conquers-the-world-1965,94,/static/images/films/posters/frankenstein-conquers-the-world-1965.webp,Furankenshutain Tai Chitei Kaijû (Baragon),Frankenstein vs. Underground Monster (Baragon),"[{""alias"":""Frankenstein vs. Baragon"",""context"":""International Title""}]"
freshman-young-guy-1969,FALSE,Freshman Young Guy,Young Guy,1969-01-01,フレッシュマン若大将,,,,,,
friends-naki-on-monster-island-2011,TRUE,Friends: Naki on Monster Island,,2011-12-17,<ruby>friends<rt>フレンズ</rt></ruby> もののけ島のナキ,/films/friends-naki-on-monster-island-2011,87,/static/images/films/posters/friends-naki-on-monster-island-2011.webp,friends Mononoke Shima No Naki,Friends Naki on Monster Island,[]
fueled-the-man-they-called-pirate-2016,TRUE,Fueled: The Man They Called Pirate,,2016-12-10,海賊とよばれた男,/films/fueled-the-man-they-called-pirate-2016,145,/static/images/films/posters/fueled-the-man-they-called-pirate-2016.webp,Kaizoku To Yobareta Otoko,The Man Called Pirate,[]
g-i-samurai-1979,TRUE,G.I. Samurai,,1979-12-15,戦国自衛隊,/films/g-i-samurai-1979,139,/static/images/films/posters/g-i-samurai-1979.webp,Sengoku Jieitai,Sengoku Self Defense Force,"[{""alias"":""Time Slip"",""context"":""American Home Video""}]"
gamera-2-attack-of-legion-1996,TRUE,Gamera 2: Attack of Legion,Gamera,1996-07-13,ガメラ2 レギオン襲来,/films/gamera-2-attack-of-legion-1996,99,/static/images/films/posters/gamera-2-attack-of-legion-1996.webp,Gamera 2 Region Shûrai,Gamera 2 Legion Attack,"[{""alias"":""Gamera 2: The Real Guardian of the Universe"",""context"":""Japanese Trailer Title""}]"
gamera-3-revenge-of-iris-1999,TRUE,Gamera 3: Revenge of Iris,Gamera,1999-03-06,ガメラ3 <ruby>邪神<rt>イリス</rt></ruby>覚醒,/films/gamera-3-revenge-of-iris-1999,108,/static/images/films/posters/gamera-3-revenge-of-iris-1999.webp,Gamera 3 Jashin (Irisu) Kakusei,Gamera 3 Evil God (Iris) Awakening,"[{""alias"":""The Absolute Guardian of the Universe - Gamera 3: Incomplete Struggle"",""context"":""Japanese Title Card""}]"
gamera-guardian-of-the-universe-1995,TRUE,Gamera: Guardian of the Universe,Gamera,1995-03-11,ガメラ 大怪獣空中決戦,/films/gamera-guardian-of-the-universe-1995,95,/static/images/films/posters/gamera-guardian-of-the-universe-1995.webp,Gamera Daikaijû Kûchû Kessen,Gamera Giant Monster Aerial Battle,[]
gamera-super-monster-1980,TRUE,Gamera: Super Monster,Gamera,1980-03-20,宇宙怪獣ガメラ,/films/gamera-super-monster-1980,109,/static/images/films/posters/gamera-super-monster-1980.webp,Uchû Kaijû Gamera,Space Monster Gamera,[]
gamera-the-brave-2006,TRUE,Gamera the Brave,Gamera,2006-04-29,小さき勇者たち〜ガメラ〜,/films/gamera-the-brave-2006,96,/static/images/films/posters/gamera-the-brave-2006.webp,Chîsaki Yûshatachi ~Gamera~,Small Heroes ~Gamera~,[]
gamera-the-giant-monster-1965,TRUE,"Gamera, the Giant Monster",Gamera,1965-11-27,大怪獣ガメラ,/films/gamera-the-giant-monster-1965,78,/static/images/films/posters/gamera-the-giant-monster-1965.webp,Daikaijû Gamera,Giant Monster Gamera,"[{""alias"":""Gammera the Invincible"",""context"":""American Theatrical Release""},{""alias"":""Gamera"",""context"":""American Home Video""}]"
